artist,song,genre,year,danceability,energy,duration_ms,explicit,,,,,,,,,
Atomic Kitten,Whole Again,pop,2001,0.747,0.706,185013,FALSE,,,,,,,,,
Ja Rule,Livin' It Up,"hip hop, pop, R&B",2001,0.874,0.768,257066,FALSE,,,,,,,,,
Destiny's Child,"Independent Women, Pt. 1","pop, R&B",2001,0.73,0.602,221133,FALSE,,,,,,,,,
DJ Pied Piper & The Masters Of Ceremonies,Do You Really Like It? - Radio Edit,Dance/Electronic,2001,0.847,0.877,217120,FALSE,,,,,,,,,
Jennifer Lopez,I'm Real (feat. Ja Rule) - Murder Remix,"hip hop, pop, R&B",2001,0.708,0.587,262133,TRUE,,,,,,,,,
Musiq Soulchild,Love,"pop, R&B",2000,0.569,0.385,304666,FALSE,,,,,,,,,
So Solid Crew,21 Seconds,Dance/Electronic,2001,0.607,0.637,302826,TRUE,,,,,,,,,
Robbie Williams,Eternity,"pop, rock",2001,0.469,0.316,302760,FALSE,,,,,,,,,
Basement Jaxx,Romeo,"pop, Dance/Electronic",2001,0.713,0.829,217493,FALSE,,,,,,,,,
Ludacris,Southern Hospitality (Featuring Pharrell),"hip hop, pop",2000,0.623,0.896,300933,TRUE,,,,,,,,,
Gabrielle,Rise,"pop, R&B",2001,0.558,0.481,219093,FALSE,,,,,,,,,
Nelly,Ride Wit Me,"hip hop, pop, R&B",2000,0.85,0.7,291781,TRUE,,,,,,,,,
Trick Daddy,I'm a Thug,"hip hop, pop",2001,0.933,0.561,254400,TRUE,,,,,,,,,
Travis,Sing,"rock, pop",2001,0.33,0.905,228800,FALSE,,,,,,,,,
JAY-Z,Izzo (H.O.V.A.),hip hop,2001,0.618,0.844,240626,TRUE,,,,,,,,,
Gabrielle,Out Of Reach,"pop, R&B",2001,0.51,0.48,196986,FALSE,,,,,,,,,
OPM,Heaven Is a Halfpipe (If I Die),rock,2000,0.743,0.894,257426,TRUE,,,,,,,,,
K-Ci & JoJo,Crazy,"pop, R&B",2019,0.68,0.644,262773,FALSE,,,,,,,,,
Staind,It's Been Awhile,"rock, metal",2001,0.509,0.774,264706,TRUE,,,,,,,,,
